kanji,meanings,radical,components,complexity
亜,Asia; rank next; come after; -ous,二,｜ 一 口,7
唖,mute; dumb,口,｜ 一 口,10
娃,beautiful,女,女 土,9
阿,Africa; flatter; fawn upon; corner; nook; recess,阜,一 口 亅 阝,8
哀,pathetic; grief; sorrow; pathos; pity; sympathize,口,衣 口 亠,9
愛,love; affection; favourite,心,心 爪 冖 夂,13
挨,approach; draw near; push open,手,矢 厶 扌 𠂉,10
姶,good-looking; quiet,女,一 口 女 𠆢,9
逢,meeting; tryst; date; rendezvous,辵,｜ 辶 二 夂,10
葵,hollyhock,艸,人 大 二 癶 艹 ノ,12
茜,madder; red dye; Turkey red,艸,西 艹,9
穐,autumn,禾,禾 亀 乙 勹 田,16
悪,bad; vice; rascal; false; evil; wrong,心,｜ 一 口 心,11
握,grip; hold; mould sushi; bribe,手,至 土 厶 尸 扌,12
渥,kindness; moisten,水,至 氵 土 厶 尸,12
旭,rising sun; morning sun,日,日 九,6
葦,reed; bullrush,艸,口 艹 韋,13
芦,reed; bullrush,艸,戸 艹 一 尸,7
鯵,horse mackerel,魚,魚 大 田 厶 彡 灬,19
梓,catalpa tree; woodblock printing,木,十 辛 木 立,11
圧,pressure; push; overwhelm; oppress; dominate,土,土 厂,5
斡,go around; rule; administer,斗,十 斗 日 𠆢,14
扱,handle; entertain; thresh; strip,手,扌 及,6
宛,address; just like; fortunately,宀,夕 卩 宀,8
姐,elder sister; maidservant,女,女 目,8
虻,gadfly; horsefly,虫,虫 亡 亠,9
飴,rice jelly; candy,食,口 食 厶,13
絢,brilliant fabric design,糸,糸 幺 小 日 勹,12
綾,design; figured cloth; twill,糸,糸 幺 小 土 儿 夂,14
鮎,freshwater trout; smelt,魚,魚 口 田 卜 灬,16
或,some; one; or; possibly; a certain,戈,口 戈 一,8
粟,millet,米,西 米,12
袷,lined (kimono),衣,口 衤 𠆢 一,11
安,relax; cheap; low; quiet; rested; contented; peaceful,宀,女 宀,6
庵,hermitage; retreat,广,田 广 大,11
按,hold; consider; investigate,手,女 宀 扌,9
暗,darkness; disappear; shade; informal; grow dark; be blinded,日,音 日 立,13
案,plan; suggestion; draft; ponder; fear; proposition; idea; expectation; worry; table; bench,木,女 木 宀,10
闇,get dark; gloom; disorder,門,音 日 門 立,17
鞍,saddle,革,女 宀 革,15
杏,apricot,木,口 木,7
以,by means of; because; in view of; compared with,人,｜ 人 丶,5
伊,Italy; that one,人,｜ ヨ 亻,6
位,rank; grade; throne; crown; about; some,人,亻 立,7
依,reliant; depend on; consequently; therefore; due to,人,衣 亻 亠,8
