idx,word,examples,phrases,distractors,batch,category,meanings,note,etymology,script,rare_kanji,complexity,retired
1,ある,"[{""word"": ""時間がある"", ""reading"": ""じかんがある"", ""meaning"": ""to have time"", ""tags"": []}]","[{""word"": ""時間がある"", ""reading"": ""じかんがある"", ""meaning"": ""to have time"", ""tags"": []}, {""word"": ""お金がある"", ""reading"": ""おかねがある"", ""meaning"": ""to have money""}, {""word"": ""駅の前にある"", ""reading"": ""えきのまえにある"", ""meaning"": ""to be in front of the station""}]",[],1,Actions,to exist / to have (inanimate),,native Japanese,hiragana,有る,2,false
2,いる,"[{""word"": ""家にいる"", ""reading"": ""いえにいる"", ""meaning"": ""to be at home"", ""tags"": []}]","[{""word"": ""家にいる"", ""reading"": ""いえにいる"", ""meaning"": ""to be at home"", ""tags"": []}, {""word"": ""犬がいる"", ""reading"": ""いぬがいる"", ""meaning"": ""there is a dog""}, {""word"": ""友達といる"", ""reading"": ""ともだちといる"", ""meaning"": ""to be with a friend""}]",[],1,Actions,to exist (animate),,native Japanese,hiragana,居る,2,false
3,できる,"[{""word"": ""日本語ができる"", ""reading"": ""にほんごができる"", ""meaning"": ""to be able to speak Japanese"", ""tags"": []}]","[{""word"": ""日本語ができる"", ""reading"": ""にほんごができる"", ""meaning"": ""to be able to speak Japanese"", ""tags"": []}, {""word"": ""運転ができる"", ""reading"": ""うんてんができる"", ""meaning"": ""can drive""}, {""word"": ""よくできる"", ""reading"": ""よくできる"", ""meaning"": ""to do well""}]","[{""word"": ""てきる"", ""reading"": ""てきる"", ""meaning"": ""(non-word)""}, {""word"": ""でぎる"", ""reading"": ""でぎる"", ""meaning"": ""(non-word)""}, {""word"": ""できっる"", ""reading"": ""できっる"", ""meaning"": ""(non-word)""}]",1,Actions,to be able to,,native Japanese,hiragana,出来る,3,false
4,なる,"[{""word"": ""医者になる"", ""reading"": ""いしゃになる"", ""meaning"": ""to become a doctor"", ""tags"": []}]","[{""word"": ""医者になる"", ""reading"": ""いしゃになる"", ""meaning"": ""to become a doctor"", ""tags"": []}, {""word"": ""大きくなる"", ""reading"": ""おおきくなる"", ""meaning"": ""to get big""}, {""word"": ""春になる"", ""reading"": ""はるになる"", ""meaning"": ""to become spring""}]",[],1,Actions,to become,,native Japanese,hiragana,成る,2,false
5,やる,"[{""word"": ""宿題をやる"", ""reading"": ""しゅくだいをやる"", ""meaning"": ""to do homework"", ""tags"": []}]","[{""word"": ""宿題をやる"", ""reading"": ""しゅくだいをやる"", ""meaning"": ""to do homework"", ""tags"": []}, {""word"": ""仕事をやる"", ""reading"": ""しごとをやる"", ""meaning"": ""to do work""}, {""word"": ""先にやる"", ""reading"": ""さきにやる"", ""meaning"": ""to do first""}]",[],1,Actions,to do,,native Japanese,hiragana,遣る,2,false
6,くれる,"[{""word"": ""友だちがくれた"", ""reading"": ""ともだちがくれた"", ""meaning"": ""a friend gave it to me"", ""tags"": []}]","[{""word"": ""友だちがくれた"", ""reading"": ""ともだちがくれた"", ""meaning"": ""a friend gave it to me"", ""tags"": []}, {""word"": ""教えてくれる"", ""reading"": ""おしえてくれる"", ""meaning"": ""to teach me""}, {""word"": ""本をくれる"", ""reading"": ""ほんをくれる"", ""meaning"": ""to give me a book""}]","[{""word"": ""ぐれる"", ""reading"": ""ぐれる"", ""meaning"": ""(non-word)""}, {""word"": ""くれっる"", ""reading"": ""くれっる"", ""meaning"": ""(non-word)""}, {""word"": ""くれ"", ""reading"": ""くれ"", ""meaning"": ""(non-word)""}]",1,Actions,to give (to me/us),,native Japanese,hiragana,呉れる,3,false
7,もらう,"[{""word"": ""お金をもらう"", ""reading"": ""おかねをもらう"", ""meaning"": ""to receive money"", ""tags"": []}]","[{""word"": ""お金をもらう"", ""reading"": ""おかねをもらう"", ""meaning"": ""to receive money"", ""tags"": []}, {""word"": ""手紙をもらう"", ""reading"": ""てがみをもらう"", ""meaning"": ""to get a letter""}, {""word"": ""教えてもらう"", ""reading"": ""おしえてもらう"", ""meaning"": ""to have it explained""}]","[{""word"": ""もらっう"", ""reading"": ""もらっう"", ""meaning"": ""(non-word)""}, {""word"": ""もら"", ""reading"": ""もら"", ""meaning"": ""(non-word)""}]",1,Actions,to receive,,native Japanese,hiragana,貰う,3,false
8,しまう,"[{""word"": ""食べてしまう"", ""reading"": ""たべてしまう"", ""meaning"": ""to end up eating"", ""tags"": []}]","[{""word"": ""食べてしまう"", ""reading"": ""たべてしまう"", ""meaning"": ""to end up eating"", ""tags"": []}, {""word"": ""飲んでしまう"", ""reading"": ""のんでしまう"", ""meaning"": ""to drink it all up""}, {""word"": ""売ってしまう"", ""reading"": ""うってしまう"", ""meaning"": ""to end up selling""}]","[{""word"": ""じまう"", ""reading"": ""じまう"", ""meaning"": ""(non-word)""}, {""word"": ""しまっう"", ""reading"": ""しまっう"", ""meaning"": ""(non-word)""}, {""word"": ""しま"", ""reading"": ""しま"", ""meaning"": ""(non-word)""}]",1,Actions,to put away / end up doing,,native Japanese,hiragana,仕舞う,3,false
9,ごまかす,"[{""word"": ""年をごまかす"", ""reading"": ""としをごまかす"", ""meaning"": ""to lie about one's age"", ""tags"": []}]","[{""word"": ""年をごまかす"", ""reading"": ""としをごまかす"", ""meaning"": ""to lie about one's age"", ""tags"": []}, {""word"": ""自分をごまかす"", ""reading"": ""じぶんをごまかす"", ""meaning"": ""to fool oneself""}, {""word"": ""話をごまかす"", ""reading"": ""はなしをごまかす"", ""meaning"": ""to dodge the topic""}]","[{""word"": ""こまかす"", ""reading"": ""こまかす"", ""meaning"": ""(non-word)""}, {""word"": ""ごまがす"", ""reading"": ""ごまがす"", ""meaning"": ""(non-word)""}, {""word"": ""ごまかず"", ""reading"": ""ごまかず"", ""meaning"": ""(non-word)""}]",1,Actions,to deceive / gloss over,,native Japanese,hiragana,誤魔化す,4,false
10,ふざける,"[{""word"": ""ふざけないで"", ""reading"": ""ふざけないで"", ""meaning"": ""stop joking around"", ""tags"": []}]","[{""word"": ""ふざけないで"", ""reading"": ""ふざけないで"", ""meaning"": ""stop joking around"", ""tags"": []}, {""word"": ""ふざけて言う"", ""reading"": ""ふざけていう"", ""meaning"": ""to say jokingly""}, {""word"": ""授業中にふざける"", ""reading"": ""じゅぎょうちゅうにふざける"", ""meaning"": ""to goof off in class""}]","[{""word"": ""ぶざける"", ""reading"": ""ぶざける"", ""meaning"": ""(non-word)""}, {""word"": ""ふさける"", ""reading"": ""ふさける"", ""meaning"": ""(non-word)""}, {""word"": ""ふざげる"", ""reading"": ""ふざげる"", ""meaning"": ""(non-word)""}]",1,Actions,to joke around,,native Japanese,hiragana,巫山戯る,4,false
