id,kanji_list,kana_list,tokens
s001,"[31, 96, 98]",[],"[{""kind"": ""word"", ""ja"": ""私"", ""reading"": ""わたし"", ""en"": ""I"", ""kanji"": [""私""], ""targets"": [31]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""学生"", ""reading"": ""がくせい"", ""en"": ""student"", ""kanji"": [""学"", ""生""], ""targets"": [96, 98]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s002,"[1, 30, 54]",[],"[{""kind"": ""word"", ""ja"": ""一人"", ""reading"": ""ひとり"", ""en"": ""one person"", ""kanji"": [""一"", ""人""], ""targets"": [1, 30]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s003,"[2, 30, 50, 54]",[],"[{""kind"": ""word"", ""ja"": ""二人"", ""reading"": ""ふたり"", ""en"": ""two people"", ""kanji"": [""二"", ""人""], ""targets"": [2, 30]}, {""kind"": ""particle"", ""kana"": ""で""}, {""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""shop"", ""kanji"": [""店""], ""targets"": [50]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s004,"[3, 62]",[],"[{""kind"": ""word"", ""ja"": ""三つ"", ""reading"": ""みっつ"", ""en"": ""three"", ""kanji"": [""三""], ""targets"": [3]}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s005,"[34, 267, 4, 30]",[],"[{""kind"": ""word"", ""ja"": ""子供"", ""reading"": ""こども"", ""en"": ""child"", ""kanji"": [""子"", ""供""], ""targets"": [34, 267]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""四人"", ""reading"": ""よにん"", ""en"": ""four people"", ""kanji"": [""四"", ""人""], ""targets"": [4, 30]}, {""kind"": ""particle"", ""kana"": ""いる""}]"
s006,"[5, 57]",[],"[{""kind"": ""word"", ""ja"": ""五つ"", ""reading"": ""いつつ"", ""en"": ""five"", ""kanji"": [""五""], ""targets"": [5]}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s007,"[6, 22, 55]",[],"[{""kind"": ""word"", ""ja"": ""六時"", ""reading"": ""ろくじ"", ""en"": ""six o'clock"", ""kanji"": [""六"", ""時""], ""targets"": [6, 22]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""来る"", ""reading"": ""くる"", ""en"": ""come"", ""kanji"": [""来""], ""targets"": [55]}]"
s008,"[7, 62]",[],"[{""kind"": ""word"", ""ja"": ""七つ"", ""reading"": ""ななつ"", ""en"": ""seven"", ""kanji"": [""七""], ""targets"": [7]}, {""kind"": ""word"", ""ja"": ""買う"", ""reading"": ""かう"", ""en"": ""buy"", ""kanji"": [""買""], ""targets"": [62]}]"
s009,"[8, 56]",[],"[{""kind"": ""word"", ""ja"": ""八つ"", ""reading"": ""やっつ"", ""en"": ""eight"", ""kanji"": [""八""], ""targets"": [8]}, {""kind"": ""word"", ""ja"": ""見る"", ""reading"": ""みる"", ""en"": ""see"", ""kanji"": [""見""], ""targets"": [56]}]"
s010,[9],[],"[{""kind"": ""word"", ""ja"": ""九つ"", ""reading"": ""ここのつ"", ""en"": ""nine"", ""kanji"": [""九""], ""targets"": [9]}, {""kind"": ""particle"", ""kana"": ""ある""}]"
s011,"[10, 30]",[],"[{""kind"": ""word"", ""ja"": ""十"", ""reading"": ""じゅう"", ""en"": ""ten"", ""kanji"": [""十""], ""targets"": [10]}, {""kind"": ""particle"", ""kana"": ""の""}, {""kind"": ""word"", ""ja"": ""人"", ""reading"": ""ひと"", ""en"": ""people"", ""kanji"": [""人""], ""targets"": [30]}]"
s012,"[24, 14, 15, 29]",[],"[{""kind"": ""word"", ""ja"": ""今日"", ""reading"": ""きょう"", ""en"": ""today"", ""kanji"": [""今"", ""日""], ""targets"": [24, 14]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""月曜日"", ""reading"": ""げつようび"", ""en"": ""Monday"", ""kanji"": [""月"", ""曜"", ""日""], ""targets"": [15, 29, 14]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s013,"[209, 14, 16, 29]",[],"[{""kind"": ""word"", ""ja"": ""明日"", ""reading"": ""あした"", ""en"": ""tomorrow"", ""kanji"": [""明"", ""日""], ""targets"": [209, 14]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""火曜日"", ""reading"": ""かようび"", ""en"": ""Tuesday"", ""kanji"": [""火"", ""曜"", ""日""], ""targets"": [16, 29, 14]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s014,"[17, 29, 14, 172]",[],"[{""kind"": ""word"", ""ja"": ""水曜日"", ""reading"": ""すいようび"", ""en"": ""Wednesday"", ""kanji"": [""水"", ""曜"", ""日""], ""targets"": [17, 29, 14]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""会う"", ""reading"": ""あう"", ""en"": ""meet"", ""kanji"": [""会""], ""targets"": [172]}]"
s015,"[18, 29, 14, 151]",[],"[{""kind"": ""word"", ""ja"": ""木曜日"", ""reading"": ""もくようび"", ""en"": ""Thursday"", ""kanji"": [""木"", ""曜"", ""日""], ""targets"": [18, 29, 14]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""休み"", ""reading"": ""やすみ"", ""en"": ""day off"", ""kanji"": [""休""], ""targets"": [151]}, {""kind"": ""particle"", ""kana"": ""です""}]"
s016,"[19, 29, 14, 50, 54]",[],"[{""kind"": ""word"", ""ja"": ""金曜日"", ""reading"": ""きんようび"", ""en"": ""Friday"", ""kanji"": [""金"", ""曜"", ""日""], ""targets"": [19, 29, 14]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""店"", ""reading"": ""みせ"", ""en"": ""store"", ""kanji"": [""店""], ""targets"": [50]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""行く"", ""reading"": ""いく"", ""en"": ""go"", ""kanji"": [""行""], ""targets"": [54]}]"
s017,"[20, 29, 14]",[],"[{""kind"": ""word"", ""ja"": ""土曜日"", ""reading"": ""どようび"", ""en"": ""Saturday"", ""kanji"": [""土"", ""曜"", ""日""], ""targets"": [20, 29, 14]}, {""kind"": ""particle"", ""kana"": ""と""}, {""kind"": ""word"", ""ja"": ""日曜日"", ""reading"": ""にちようび"", ""en"": ""Sunday"", ""kanji"": [""日"", ""曜"", ""日""], ""targets"": [14, 29, 14]}]"
s018,"[24, 73, 22]",[],"[{""kind"": ""word"", ""ja"": ""今"", ""reading"": ""いま"", ""en"": ""now"", ""kanji"": [""今""], ""targets"": [24]}, {""kind"": ""word"", ""ja"": ""何時"", ""reading"": ""なんじ"", ""en"": ""what time"", ""kanji"": [""何"", ""時""], ""targets"": [73, 22]}, {""kind"": ""particle"", ""kana"": ""ですか""}]"
s019,"[28, 14, 71, 63]",[],"[{""kind"": ""word"", ""ja"": ""毎日"", ""reading"": ""まいにち"", ""en"": ""every day"", ""kanji"": [""毎"", ""日""], ""targets"": [28, 14]}, {""kind"": ""word"", ""ja"": ""本"", ""reading"": ""ほん"", ""en"": ""book"", ""kanji"": [""本""], ""targets"": [71]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""読む"", ""reading"": ""よむ"", ""en"": ""read"", ""kanji"": [""読""], ""targets"": [63]}]"
s020,"[28, 27, 81, 57]",[],"[{""kind"": ""word"", ""ja"": ""毎週"", ""reading"": ""まいしゅう"", ""en"": ""every week"", ""kanji"": [""毎"", ""週""], ""targets"": [28, 27]}, {""kind"": ""word"", ""ja"": ""魚"", ""reading"": ""さかな"", ""en"": ""fish"", ""kanji"": [""魚""], ""targets"": [81]}, {""kind"": ""particle"", ""kana"": ""を""}, {""kind"": ""word"", ""ja"": ""食べる"", ""reading"": ""たべる"", ""en"": ""eat"", ""kanji"": [""食""], ""targets"": [57]}]"
s021,"[55, 21, 42, 96, 61]",[],"[{""kind"": ""word"", ""ja"": ""来年"", ""reading"": ""らいねん"", ""en"": ""next year"", ""kanji"": [""来"", ""年""], ""targets"": [55, 21]}, {""kind"": ""word"", ""ja"": ""大学"", ""reading"": ""だいがく"", ""en"": ""university"", ""kanji"": [""大"", ""学""], ""targets"": [42, 96]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""入る"", ""reading"": ""はいる"", ""en"": ""enter"", ""kanji"": [""入""], ""targets"": [61]}]"
s022,"[55, 27, 36, 256, 172]",[],"[{""kind"": ""word"", ""ja"": ""来週"", ""reading"": ""らいしゅう"", ""en"": ""next week"", ""kanji"": [""来"", ""週""], ""targets"": [55, 27]}, {""kind"": ""word"", ""ja"": ""友達"", ""reading"": ""ともだち"", ""en"": ""friend"", ""kanji"": [""友"", ""達""], ""targets"": [36, 256]}, {""kind"": ""particle"", ""kana"": ""に""}, {""kind"": ""word"", ""ja"": ""会う"", ""reading"": ""あう"", ""en"": ""meet"", ""kanji"": [""会""], ""targets"": [172]}]"
s023,"[25, 23, 57]",[],"[{""kind"": ""word"", ""ja"": ""半分"", ""reading"": ""はんぶん"", ""en"": ""half"", ""kanji"": [""半"", ""分""], ""targets"": [25, 23]}, {""kind"": ""word"", ""ja"": ""食べた"", ""reading"": ""たべた"", ""en"": ""ate"", ""kanji"": [""食""], ""targets"": [57], ""lemma"": ""食べる""}]"
s024,"[22, 26]",[],"[{""kind"": ""word"", ""ja"": ""時間"", ""reading"": ""じかん"", ""en"": ""time"", ""kanji"": [""時"", ""間""], ""targets"": [22, 26]}, {""kind"": ""particle"", ""kana"": ""が""}, {""kind"": ""word"", ""ja"": ""ない"", ""reading"": ""ない"", ""en"": ""not have"", ""kanji"": [], ""targets"": []}]"
s025,"[1, 21, 26, 68]",[],"[{""kind"": ""word"", ""ja"": ""一"", ""reading"": ""いち"", ""en"": ""one"", ""kanji"": [""一""], ""targets"": [1]}, {""kind"": ""word"", ""ja"": ""年間"", ""reading"": ""ねんかん"", ""en"": ""years"", ""kanji"": [""年"", ""間""], ""targets"": [21, 26]}, {""kind"": ""word"", ""ja"": ""待った"", ""reading"": ""まった"", ""en"": ""waited"", ""kanji"": [""待""], ""targets"": [68], ""lemma"": ""待つ""}]"
s026,[23],[],"[{""kind"": ""word"", ""ja"": ""分かる"", ""reading"": ""わかる"", ""en"": ""understand"", ""kanji"": [""分""], ""targets"": [23]}]"
s027,"[37, 172, 268, 260]",[],"[{""kind"": ""word"", ""ja"": ""父"", ""reading"": ""ちち"", ""en"": ""father"", ""kanji"": [""父""], ""targets"": [37]}, {""kind"": ""particle"", ""kana"": ""は""}, {""kind"": ""word"", ""ja"": ""会社員"", ""reading"": ""かいしゃいん"", ""en"": ""office worker"", ""kanji"": [""会"", ""社"", ""員""], ""targets"": [172, 268, 260]}, {""kind"": ""particle"", ""kana"": ""です""}]"
