idx,word,reading,meaning,tags,kanji_idxs,variants,retired
1,一,いち,one,[],[1],[],false
2,一つ,ひとつ,one thing,[],[1],[],false
3,一人,ひとり,one person,[],"[1, 30]",[],false
4,一月,いちがつ,January,[],"[1, 15]",[],false
5,一日,ついたち,1st of month,[],[1],[],false
6,一年,いちねん,one year,[],[1],[],false
7,一時,いちじ,1 o'clock,[],"[1, 22]",[],false
8,二,に,two,[],[2],[],false
9,二つ,ふたつ,two things,[],[2],[],false
10,二人,ふたり,two people,[],"[2, 30]",[],false
11,二月,にがつ,February,[],[2],[],false
12,二日,ふつか,2nd of month,[],[2],[],false
13,二時,にじ,2 o'clock,[],[2],[],false
14,二年,にねん,two years,[],[2],[],false
15,三,さん,three,[],[3],[],false
16,三つ,みっつ,three things,[],[3],[],false
17,三人,さんにん,three people,[],[3],[],false
18,三月,さんがつ,March,[],[3],[],false
19,三日,みっか,3rd of month,[],[3],[],false
20,三時,さんじ,3 o'clock,[],[3],[],false
21,四,し,four,[],[4],[],false
22,四つ,よっつ,four things,[],[4],[],false
23,四人,よにん,four people,[],[4],[],false
24,四月,しがつ,April,[],[4],[],false
25,四日,よっか,4th of month,[],[4],[],false
26,四時,よじ,4 o'clock,[],[4],[],false
27,五,ご,five,[],[5],[],false
28,五つ,いつつ,five things,[],[5],[],false
29,五人,ごにん,five people,[],[5],[],false
30,五月,ごがつ,May,[],[5],[],false
31,五日,いつか,5th of month,[],[5],[],false
32,五時,ごじ,5 o'clock,[],[5],[],false
33,五年,ごねん,five years,[],[5],[],false
34,六,ろく,six,[],[6],[],false
35,六つ,むっつ,six things,[],[6],[],false
36,六人,ろくにん,six people,[],[6],[],false
37,六月,ろくがつ,June,[],[6],[],false
38,六日,むいか,6th of month,[],[6],[],false
39,六時,ろくじ,6 o'clock,[],[6],[],false
40,七,なな,seven,[],[7],[],false
41,七つ,ななつ,seven things,[],[7],[],false
42,七人,しちにん,seven people,[],[7],[],false
43,七月,しちがつ,July,[],[7],[],false
44,七日,なのか,7th of month,[],[7],[],false
45,七時,しちじ,7 o'clock,[],[7],[],false
46,八,はち,eight,[],[8],[],false
47,八つ,やっつ,eight things,[],[8],[],false
48,八人,はちにん,eight people,[],[8],[],false
49,八月,はちがつ,August,[],[8],[],false
50,八日,ようか,8th of month,[],[8],[],false
51,八時,はちじ,8 o'clock,[],[8],[],false
52,九,きゅう,nine,[],[9],[],false
53,九つ,ここのつ,nine things,[],[9],[],false
54,九人,きゅうにん,nine people,[],[9],[],false
55,九月,くがつ,September,[],[9],[],false
56,九日,ここのか,9th of month,[],[9],[],false
57,九時,くじ,9 o'clock,[],[9],[],false
58,十,じゅう,ten,[],[10],[],false
59,十人,じゅうにん,ten people,[],[10],[],false
60,十月,じゅうがつ,October,[],[10],[],false
61,十日,とおか,10th of month,[],[10],[],false
62,十時,じゅうじ,10 o'clock,[],[10],[],false
